Date,Symbol,Open,High,Low,Close,Volume,Market Cap
28-04-2013,BTC,135.3,135.98,132.1,134.21,0,1500519936
29-04-2013,BTC,134.44,147.49,134,144.54,0,1491160064
30-04-2013,BTC,144,146.93,134.05,139,0,1597779968
01-05-2013,BTC,139,139.89,107.72,116.99,0,1542819968
02-05-2013,BTC,116.38,125.6,92.28,105.21,0,1292189952
03-05-2013,BTC,106.25,108.13,79.1,97.75,0,1180070016
04-05-2013,BTC,98.1,115,92.5,112.5,0,1089890048
05-05-2013,BTC,112.9,118.8,107.14,115.91,0,1254759936
06-05-2013,BTC,115.98,124.66,106.64,112.3,0,1289469952
07-05-2013,BTC,112.25,113.44,97.7,111.5,0,1248470016
08-05-2013,BTC,109.6,115.78,109.6,113.57,0,1219449984
09-05-2013,BTC,113.2,113.46,109.26,112.67,0,1259980032
10-05-2013,BTC,112.8,122,111.55,117.2,0,1255970048
11-05-2013,BTC,117.7,118.68,113.01,115.24,0,1311049984
12-05-2013,BTC,115.64,117.45,113.43,115,0,1288630016
13-05-2013,BTC,114.82,118.7,114.5,117.98,0,1279980032
14-05-2013,BTC,117.98,119.8,110.25,111.5,0,1315719936
15-05-2013,BTC,111.4,115.81,103.5,114.22,0,1242759936
16-05-2013,BTC,114.22,118.76,112.2,118.76,0,1274620032
17-05-2013,BTC,118.21,125.3,116.57,123.01,0,1319590016
18-05-2013,BTC,123.5,125.25,122.3,123.5,0,1379139968
19-05-2013,BTC,123.21,124.5,119.57,121.99,0,1376370048
20-05-2013,BTC,122.5,123.62,120.12,122,0,1368909952
21-05-2013,BTC,122.02,123,121.21,122.88,0,1363939968
22-05-2013,BTC,122.89,124,122,123.89,0,1374130048
23-05-2013,BTC,123.8,126.93,123.1,126.7,0,1384780032
24-05-2013,BTC,126.3,133.85,125.72,133.2,0,1413299968
25-05-2013,BTC,133.1,133.22,128.9,131.98,0,1489949952
26-05-2013,BTC,131.99,136,130.62,133.48,0,1478029952
27-05-2013,BTC,133.5,135.46,124.7,129.74,0,1495520000
28-05-2013,BTC,129.77,130.58,125.6,129,0,1454310016
29-05-2013,BTC,129,132.59,127.66,132.3,0,1446189952
30-05-2013,BTC,132.25,132.25,127,128.8,0,1483180032
31-05-2013,BTC,128.8,129.9,126.4,129,0,1445049984
01-06-2013,BTC,128.82,129.78,127.2,129.3,0,1445799936
02-06-2013,BTC,129.3,129.4,115.05,122.29,0,1451929984
03-06-2013,BTC,122.5,122.5,116,122.22,0,1376179968
04-06-2013,BTC,120.74,123.84,119.1,121.42,0,1357020032
05-06-2013,BTC,121.4,123.47,119.9,121.65,0,1365110016
06-06-2013,BTC,121.9,123.1,117.25,118,0,1371299968
07-06-2013,BTC,118.97,119,106.42,111.5,0,1338880000
08-06-2013,BTC,111,111.42,107.3,108.3,0,1249629952
09-06-2013,BTC,107.89,108.99,88.5,100,0,1215129984
10-06-2013,BTC,100.44,110.1,95,106.35,0,1131570048
11-06-2013,BTC,106.35,109.6,104,108.9,0,1198640000
12-06-2013,BTC,109,111.79,106.73,108.15,0,1228999936
13-06-2013,BTC,108.78,110.3,100.53,104,0,1227030016
14-06-2013,BTC,103.95,104.7,98,99.98,0,1173059968
15-06-2013,BTC,100,103.7,98,99.99,0,1128950016
16-06-2013,BTC,99.8,101.6,98.95,99.51,0,1127120000
17-06-2013,BTC,99.9,102.21,99,101.7,0,1128720000
18-06-2013,BTC,101.95,111.11,101.03,107.4,0,1152249984
19-06-2013,BTC,107.05,110.22,105.75,108.25,0,1210259968
20-06-2013,BTC,108.25,114.3,107.5,110.15,0,1224210048
21-06-2013,BTC,111.29,114.99,107.68,109.5,0,1259000064
22-06-2013,BTC,109.5,109.96,107.51,108.3,0,1239209984
23-06-2013,BTC,108.2,108.8,106.23,107.6,0,1224979968
24-06-2013,BTC,107.9,108.33,100.98,102.74,0,1222029952
25-06-2013,BTC,102.09,106.47,101.01,103.95,0,1156610048
26-06-2013,BTC,103.33,105.49,102.79,104,0,1171049984
27-06-2013,BTC,104,104,101.1,101.44,0,1179110016
28-06-2013,BTC,101.74,101.74,92.33,94.65,0,1153880064
29-06-2013,BTC,94.66,99.99,93,94.99,0,1074009984
30-06-2013,BTC,95,98.12,94.22,96.61,0,1078259968
01-07-2013,BTC,97.51,97.66,86.3,88.05,0,1107129984
02-07-2013,BTC,88.05,92.3,87.51,90.13,0,1000070016
03-07-2013,BTC,90.4,90.98,76.98,77.53,0,1027160000
04-07-2013,BTC,78.89,83.11,72,80.53,0,896692992
05-07-2013,BTC,79.99,80,65.53,68.43,0,909526016
06-07-2013,BTC,68.5,75,66.82,70.28,0,779254976
07-07-2013,BTC,68.75,74.56,66.62,74.56,0,782352000
08-07-2013,BTC,76.5,80,72.6,76.52,0,870912000
09-07-2013,BTC,76,78.3,72.52,76.69,0,865585024
10-07-2013,BTC,76.72,87,76.2,86.76,0,874137984
11-07-2013,BTC,88,90.28,85.08,88.98,0,1003089984
12-07-2013,BTC,88.98,104,88.17,93.59,0,1014640000
13-07-2013,BTC,93.99,98.25,88.06,98.13,0,1072140032
14-07-2013,BTC,98.7,98.7,92.86,94.69,0,1126259968
15-07-2013,BTC,93.61,101.9,93.11,98.4,0,1068520000
16-07-2013,BTC,98.89,99.86,96.14,97.45,0,1129260032
17-07-2013,BTC,96.71,99.97,96.18,98.5,0,1104760064
18-07-2013,BTC,98.5,98.8,86.2,90.58,0,1125660032
19-07-2013,BTC,90.07,95.2,87.8,92.17,0,1029670016
20-07-2013,BTC,92,93.1,89.27,89.39,0,1052140032
21-07-2013,BTC,89.82,91.95,88,90.76,0,1027640000
22-07-2013,BTC,92,92,90.08,91.61,0,1053000000
23-07-2013,BTC,91.6,96.82,91.6,95.56,0,1048819968
24-07-2013,BTC,95.56,95.99,93,94.51,0,1094489984
25-07-2013,BTC,94.5,97.33,93.87,96.9,0,1082800000
26-07-2013,BTC,96.95,97.47,96,96.02,0,1111160064
27-07-2013,BTC,96.02,97,93,94.12,0,1100899968
28-07-2013,BTC,94.4,100.58,94,99.76,0,1082749952
29-07-2013,BTC,98.6,102.5,98.46,101.2,0,1131340032
30-07-2013,BTC,101.49,107.99,100.47,107.99,0,1164940032
31-07-2013,BTC,107.95,111.34,103.88,106.09,0,1239629952
01-08-2013,BTC,106.21,108,103.01,104,0,1220189952
02-08-2013,BTC,104.86,108,101.21,104.5,0,1205069952
03-08-2013,BTC,104.5,105.78,102,104,0,1201490048
04-08-2013,BTC,104.95,105.95,103.52,105.14,0,1207100032
05-08-2013,BTC,105.12,107.77,105,106.22,0,1209520000
06-08-2013,BTC,106.72,107.38,105.56,106.75,0,1228440064
07-08-2013,BTC,106.75,106.75,106.75,106.75,0,1229100032
08-08-2013,BTC,106.75,106.75,101.26,103,0,1229100032
09-08-2013,BTC,103.07,105.75,101.93,102.8,0,1187920000
10-08-2013,BTC,102.8,103.9,102.41,103,0,1185309952
11-08-2013,BTC,103,105.19,102.75,105,0,1188150016
12-08-2013,BTC,105,108,103.5,106.64,0,1211789952
13-08-2013,BTC,106.99,109.35,104.65,109,0,1235340032
14-08-2013,BTC,109.56,115,108,112.56,0,1265449984
15-08-2013,BTC,112.56,113.25,109,109.99,0,1300659968
16-08-2013,BTC,110,112.3,108.52,108.99,0,1271469952
17-08-2013,BTC,108.99,113.75,108.22,113.5,0,1260349952
18-08-2013,BTC,112.75,114.69,112,113.5,0,1304320000
19-08-2013,BTC,113.38,123.06,111.77,119,0,1312160000
20-08-2013,BTC,119,123.01,117.51,121.21,0,1377730048
21-08-2013,BTC,121.21,124.91,119.68,123.3,0,1403890048
22-08-2013,BTC,123.3,123.5,120.6,121.15,0,1428700032
23-08-2013,BTC,122,122,118.44,118.5,0,1414290048
24-08-2013,BTC,118.51,121.39,118.02,120.04,0,1374419968
25-08-2013,BTC,119.6,122.99,119.17,122.11,0,1387640064
26-08-2013,BTC,122.11,122.75,119.93,120.06,0,1417200000
27-08-2013,BTC,120.07,127.24,120.07,126.5,0,1394009984
28-08-2013,BTC,126.48,127.32,122.62,122.62,0,1468960000
29-08-2013,BTC,122.62,123.7,122.21,122.39,0,1424679936
30-08-2013,BTC,122.35,135.75,120.99,133.49,0,1422119936
31-08-2013,BTC,133.09,140.89,132.72,135.35,0,1547640064
01-09-2013,BTC,135.14,145.81,134.81,138.34,0,1572230016
02-09-2013,BTC,138.63,146.5,134.89,135.85,0,1613600000
03-09-2013,BTC,135.61,138.34,133,136.77,0,1579180032
04-09-2013,BTC,136.53,144.5,123.61,126.74,0,1590550016
05-09-2013,BTC,126.76,131.44,121.83,126.43,0,1477250048
06-09-2013,BTC,126.49,127.34,119.15,119.15,0,1474669952
07-09-2013,BTC,118.89,125.94,118.46,124.15,0,1386610048
08-09-2013,BTC,124.13,124.72,120.49,121.66,0,1448179968
09-09-2013,BTC,121.86,129.06,119.75,127.11,0,1422179968
10-09-2013,BTC,127.27,129.74,125.9,125.91,0,1485959936
11-09-2013,BTC,125.89,137.83,123.27,135.25,0,1470450048
12-09-2013,BTC,135.55,136.08,131.81,133.13,0,1583960064
13-09-2013,BTC,132.83,137.58,132.27,134.98,0,1552880000
14-09-2013,BTC,135.01,135.85,128.87,129.22,0,1579049984
15-09-2013,BTC,129.4,131.44,128.26,130.37,0,1514140032
16-09-2013,BTC,130.86,132.72,129.77,131.72,0,1531820032
17-09-2013,BTC,131.59,132.76,124.89,131.66,0,1540880000
