Date,Price,Open,High,Low,Vol.
Jul-20,9681.3,9135.9,9729.3,8932.1,10.00M
Jun-20,9135.4,9454.5,10301.8,8865.3,15.35M
May-20,9454.8,8628.6,10033,8235.6,38.48M
Apr-20,8629,6412.4,9437.5,6157.4,39.41M
Mar-20,6412.5,8543.8,9180.8,3869.5,48.24M
Feb-20,8543.7,9349.3,10482.6,8543.7,23.76M
Jan-20,9349.1,7196.4,9569,6884.1,23.56M
Dec-19,7196.4,7546.5,7702.2,6462.2,21.03M
Nov-19,7546.6,9153.1,9500.4,6534.8,21.33M
Oct-19,9152.6,8285,10540,7329.2,19.93M
Sep-19,8284.3,9594.7,10896.2,7749,13.58M
Aug-19,9594.4,10081.9,12291.9,9343,17.53M
Jul-19,10082,10821.4,13134.4,9082.6,23.61M
Jun-19,10818.6,8556.9,13929.8,7480.4,22.96M
May-19,8558.3,5321.1,9045.9,5319.5,44.06M
Apr-19,5320.8,4102.3,5594.4,4076.8,54.03M
Mar-19,4102.3,3816.7,4138.1,3681.8,81.62M
Feb-19,3816.6,3437.7,4194.2,3382.5,23.13M
Jan-19,3437.2,3709.5,4070.5,3368.2,15.72M
Dec-18,3709.4,4038.7,4316.1,3177,15.70M
Nov-18,4039.7,6365.9,6594.3,3634.2,8.71M
Oct-18,6365.9,6635.2,7358.4,6034.9,58.80M
Sep-18,6635.2,7032.4,7409.9,5977,154.15M
Aug-18,7033.8,7728.5,7753.2,5898.3,63.25M
Jul-18,7729.4,6398.5,8484.6,6398.5,7.06M
Jun-18,6398.9,7502.5,7775,5785.3,4.78M
May-18,7502.6,9245.1,9992.8,7069.8,5.04M
Apr-18,9245.1,6939.1,9753.1,6460.1,6.22M
Mar-18,6938.2,10335.1,11506.9,6603.8,7.61M
Feb-18,10333.9,10266.2,11791.5,5996.6,8.54M
Jan-18,10265.4,13850.5,17252.8,9271.3,4.84M
Dec-17,13850.4,9947.1,19870.6,9420.9,5.12M
Nov-17,9946.8,6449.1,11417.8,5493.6,3.96M
Oct-17,6451.2,4360.6,6467.2,4143.4,2.98M
Sep-17,4360.6,4735.1,4976.5,2979.9,3.93M
Aug-17,4735.1,2883.3,4765.1,2659.6,3.13M
Jul-17,2883.3,2480.6,2932.8,1809,3.75M
Jun-17,2480.6,2303.3,2985.1,2125.6,3.35M
May-17,2303.3,1351.9,2781.8,1342.8,3.45M
Apr-17,1351.9,1079.1,1358.9,841.5,1.56M
Mar-17,1079.1,1189.3,1330.4,890.4,2.68M
Feb-17,1189.3,965.5,1211.7,924.7,1.31M
Jan-17,965.5,963.4,1150.6,739.5,2.21M
Dec-16,963.4,742.5,982.6,741.1,1.27M
Nov-16,742.5,698.7,755.3,670.4,1.23M
Oct-16,698.7,608.1,720.2,606.5,905.66K
Sep-16,608.1,573.9,705,569.3,748.55K
Aug-16,573.9,621.9,627.9,471.4,1.08M
Jul-16,621.9,670,701.5,605,1.63M
Jun-16,670,528.9,776,521.3,3.55M
May-16,528.9,448.5,548,435.4,1.66M
Apr-16,448.5,415.7,468.9,412.4,1.39M
Mar-16,415.7,436.2,439,386.9,1.66M
Feb-16,436.2,369.8,447.6,365.3,1.99M
Jan-16,369.8,430,462.9,350.4,2.49M
Dec-15,430,378,467.7,347.2,3.20M
Nov-15,378,311.2,492.8,292.4,4.29M
Oct-15,311.2,235.9,334.9,234.7,2.28M
Sep-15,235.9,229.5,246.4,224.1,1.65M
Aug-15,229.5,283.7,285.7,196.3,2.22M
Jul-15,283.7,264.1,315.9,243.2,1.86M
Jun-15,264.1,229.8,268.7,221,1.75M
May-15,229.8,235.8,247.9,228.2,1.64M
Apr-15,235.8,244.1,261.5,214.1,2.07M
Mar-15,244.1,254.1,301,234.8,2.97M
Feb-15,254.1,218.5,264.6,209.7,2.09M
Jan-15,218.5,318.2,321.4,157.3,1.56M
Dec-14,318.2,374.9,384.9,303.4,847.29K
Nov-14,374.9,337.9,480.5,319.8,711.11K
Oct-14,337.9,388.2,407.7,294.9,569.00K
Sep-14,388.2,481.8,498.5,372.6,295.62K
Aug-14,481.8,589.5,608.2,450,126.17K
Jul-14,589.5,635.1,652.5,564,107.22K
Jun-14,635.1,627.9,676.5,560.8,111.81K
May-14,627.9,445.6,629,420.2,85.75K
Apr-14,445.6,444.7,549,355.7,161.16K
Mar-14,444.7,573.9,695.4,262.8,94.27K
Feb-14,573.9,938.8,969.2,91.7,996.35K
Jan-14,938.8,805.9,1093.4,771,306.25K
Dec-13,805.9,1205.7,1239.9,454.9,920.80K
Nov-13,1205.7,211.2,1241.9,209.7,1.13M
Oct-13,211.2,141.9,233.4,109.7,753.58K
Sep-13,141.9,141,148.9,121.3,451.29K
Aug-13,141,106.2,148.7,101,604.91K
Jul-13,106.2,97.5,111.7,65.4,1.14M
Jun-13,97.5,128.8,130.1,88,1.05M
May-13,128.8,139.2,140.1,79,2.07M
