Date,Price,Open,High,Low,Vol.
Jul-20,308.39,225.80,308.39,223.00,0
Jun-20,225.80,231.53,253.69,216.16,0
May-20,231.53,206.39,246.84,175.73,0
Apr-20,206.39,133.20,226.80,129.25,0
Mar-20,133.12,218.27,252.99,90.00,0
Feb-20,218.45,180.27,287.32,179.66,0
Jan-20,180.08,129.45,186.74,126.39,0
Dec-19,129.45,152.43,154.11,116.98,0
Nov-19,152.54,183.01,195.20,133.58,0
Oct-19,183.04,182.27,198.62,153.40,0
Sep-19,181.68,172.06,224.73,153.75,0
Aug-19,172.13,218.76,239.52,164.19,0
Jul-19,218.70,290.83,318.00,192.57,0
Jun-19,289.65,267.13,362.90,226.62,0
May-19,267.28,170.50,289.14,166.18,0
Apr-19,170.59,143.78,187.70,141.55,4.82M
Mar-19,143.78,138.17,148.52,125.89,4.63M
Feb-19,138.17,108.61,169.90,102.61,8.30M
Jan-19,108.45,136.00,166.62,103.22,9.73M
Dec-18,136.00,113.63,163.50,83.00,16.40M
Nov-18,113.68,199.14,225.00,103.03,12.55M
Oct-18,198.70,233.70,238.85,189.98,5.55M
Sep-18,232.75,281.84,302.17,167.72,14.19M
Aug-18,281.87,432.17,434.93,250.80,5.93M
Jul-18,431.65,454.19,515.28,417.80,4.02M
Jun-18,453.85,577.00,628.69,405.00,5.48M
May-18,577.41,670.35,838.00,500.00,7.69M
Apr-18,670.00,393.37,711.00,358.01,7.13M
Mar-18,392.97,851.25,881.30,364.66,6.08M
Feb-18,851.26,1120.70,1167.00,566.00,6.36M
Jan-18,1121.30,737.77,1423.20,718.60,8.06M
Dec-17,736.77,432.21,863.00,390.00,9.39M
Nov-17,432.21,303.69,517.00,275.21,5.79M
Oct-17,303.69,303.44,355.00,273.50,4.44M
Sep-17,303.44,387.30,395.03,198.00,8.40M
Aug-17,387.30,200.81,390.10,200.80,5.15M
Jul-17,200.81,275.62,285.91,136.12,7.73M
Jun-17,275.62,218.34,412.21,196.00,4.09M
May-17,218.34,83.51,230.55,66.00,4.96M
Apr-17,83.51,49.72,84.00,41.05,3.63M
Mar-17,49.72,15.86,58.99,15.62,8.24M
Feb-17,15.86,10.71,16.23,10.41,1.38M
Jan-17,10.71,8.17,11.70,8.03,1.27M
Dec-16,8.00,8.61,8.84,5.86,1.12M
Nov-16,8.62,10.96,11.27,7.74,555.36K
Oct-16,10.96,13.25,13.50,9.50,871.30K
Sep-16,13.30,11.66,15.40,11.26,1.10M
Aug-16,11.63,12.00,12.33,9.90,1.20M
Jul-16,11.86,12.50,15.15,9.35,4.65M
Jun-16,12.50,14.07,21.69,10.13,6.15M
May-16,14.01,8.74,14.89,8.35,2.06M
Apr-16,8.87,11.41,11.94,6.86,656.56K
